action_id,seller_name,seller_country_iso,target_name,acquirer_name,announce_date,completion_or_termination_date,deal_status,deal_type,percent_sought,transaction_stake_category,days_from_rupture_to_recorded_resolution,days_from_announcement_to_recorded_resolution,reported_value_millions,reported_value_currency,reported_value_source,deal_description
233437460,Volkswagen AG,DE,Manufacturing facility/Russia,Sistema PJSFC,2023-03-07,2023-09-07,Withdrawn,AST,100,full_interest_offered,560,184,,EUR,,Volkswagen AG announced the sale of Manufacturing facility/Russia to Sistema PJSFC. Financial terms of the transaction are undisclosed.
233527851,Carlsberg AS,DK,8 breweries/Russia,Anadolu Efes Biracilik Ve Malt Sanayii AS,2023-03-15,2023-09-15,Withdrawn,AST,100,full_interest_offered,568,184,,RUB,,Carlsberg AS announced the sale of 8 breweries/Russia to Anadolu Efes Biracilik Ve Malt Sanayii AS. Financial terms of the transaction are undisclosed.
233665632,Henkel AG & Co KGaA,DE,11 Henkels Plants/Russia,Private Investor,2023-03-28,,Pending,AST,100,full_interest_offered,,,,RUB,,Henkel AG & Co KGaA announced the sale of 11 Henkels Plants/Russia to Private Investor. The transaction was announced on 3/28/2023 and is currently pending. Financial terms of the transaction are undisclosed.
233694497,Swixx Biopharma SA,CH,Russian business/Swixx Biopharma SA,Eli Lilly & Co,2023-03-30,,Pending,AST,100,full_interest_offered,,,,USD,,Swixx Biopharma SA announced the sale of Russian business/Swixx Biopharma SA to Eli Lilly & Co. The transaction was announced on 3/30/2023 and is currently pending. Financial terms of the transaction are undisclosed.
233830202,Shell PLC,GB,Sakhalin Energy Investment Co Ltd,Gazprom PJSC,2024-03-28,2024-03-28,Completed,INV,27.5,shared_interest_offered,763,0,1023.84,RUB,Current/Completed Total Value,Shell PLC sold a minority stake in Sakhalin Energy Investment Co Ltd to Gazprom PJSC. The transaction was completed on 3/28/2024.
233902808,CNH Industrial NV,GB,Business activities/Russia,Unnamed Buyer,2022-03-31,2023-04-20,Completed,AST,100,full_interest_offered,420,385,60,USD,Current/Completed Total Value,CNH Industrial NV sold Business activities/Russia to Unnamed Buyer for USD 60.00M. The transaction was announced on 3/31/2022 and completed on 4/20/2023.
233948769,Continental AG,DE,Tayrs Rus OOO,S8 Capital AO,2023-04-24,,Pending,M&A,100,full_interest_offered,,,,RUB,,Continental AG announced the sale of Tayrs Rus OOO to S8 Capital AO. The transaction was announced on 4/24/2023 and is currently pending. Financial terms of the transaction are undisclosed.
234060516,Purmo Group Oyj,FI,Russian Business/Purmo Group Oyj,Unnamed Buyer,2022-04-01,2024-04-19,Terminated,AST,0,unclassified,785,749,,EUR,,Purmo Group Oyj announced the sale of Russian Business/Purmo Group Oyj to Unnamed Buyer. The transaction was announced on 4/1/2022 and terminated on 4/19/2024. Financial terms of the transaction are undisclosed.
234081465,Henkel AG & Co KGaA,DE,Russian business activities/Henkel AG & Co KGaA,Private Investor,2023-05-04,2023-05-04,Completed,AST,100,full_interest_offered,434,0,690.66,RUB,Current/Completed Total Value,Henkel AG & Co KGaA sold Russian business activities/Henkel AG & Co KGaA to Private Investor for RUB 54000.00M. The transaction was completed on 5/4/2023.
234181603,Decathlon SA,FR,Decathlon Store/Russia,Unnamed Buyer,2023-05-12,2023-11-13,Withdrawn,AST,100,full_interest_offered,627,185,,RUB,,Decathlon SA announced the sale of Decathlon Store/Russia to Unnamed Buyer. Financial terms of the transaction are undisclosed.
234496636,Essity AB,SE,Russian Operations/Essity AB,NEW Technologies LLC,2023-06-10,2023-07-17,Completed,AST,100,full_interest_offered,508,37,117.12,SEK,Current/Completed Total Value,Essity AB sold Russian Operations/Essity AB to NEW Technologies LLC for SEK 1200.00M. The transaction was announced on 6/10/2023 and completed on 7/17/2023.
234498746,HASSLACHER DRAULAND Holzindustrie GmbH,AT,Russian location/Malaya Vishera,Gruppa Kompaniy Vologodskiye Lesopromyshlenniki AO,2023-05-04,2023-05-04,Completed,AST,100,full_interest_offered,434,0,,RUB,,HASSLACHER DRAULAND Holzindustrie GmbH sold Russian location/Malaya Vishera to Gruppa Kompaniy Vologodskiye Lesopromyshlenniki AO. The transaction was completed on 5/4/2023. Financial terms of the transaction are undisclosed.
234533546,Starbucks Corp,US,Coffee store/Russia,Private Investor,2023-06-15,2023-06-15,Completed,AST,100,full_interest_offered,476,0,5.99,RUB,Current/Completed Total Value,Starbucks Corp sold Coffee store/Russia to Private Investor for RUB 500.00M. The transaction was completed on 6/15/2023.
234614160,Carlsberg AS,DK,Russian business/Carlsberg AS,Unnamed Buyer,2023-06-23,,Pending,AST,100,full_interest_offered,,,,RUB,,Carlsberg AS announced the sale of Russian business/Carlsberg AS to Unnamed Buyer. The transaction was announced on 6/23/2023 and is currently pending. Financial terms of the transaction are undisclosed.
234834261,Isuzu Motors Ltd,JP,Production/Russia,Sollers PJSC,2023-07-14,2023-07-14,Completed,AST,0,unclassified,505,0,,JPY,,Isuzu Motors Ltd sold Production/Russia to Sollers PJSC. The transaction was completed on 7/14/2023. Financial terms of the transaction are undisclosed.
235074982,Mondi PLC,GB,Syktyvkarsky Forestry Enterprise JSC,Sezar Group OOO,2023-09-21,2023-10-04,Completed,AST,100,full_interest_offered,587,13,800,RUB,Current/Completed Total Value,Mondi PLC sold Syktyvkarsky Forestry Enterprise JSC to Sezar Group OOO for RUB 80000.00M. The transaction was announced on 9/21/2023 and completed on 10/4/2023.
235093693,Eastnine AB,SE,Melon Fashion Group OAO,GEM Invest LLC,2023-08-07,2023-08-10,Completed,INV,36,shared_interest_offered,532,3,160.37,RUB,Current/Completed Total Value,Eastnine AB sold a minority stake in Melon Fashion Group OAO to GEM Invest LLC. The transaction was announced on 8/7/2023 and completed on 8/10/2023.
235144195,Magna International Inc,CA,Russian assets/Magna International Inc,Unnamed Buyer,2023-08-11,2023-08-01,Completed,AST,100,full_interest_offered,523,,15,USD,Current/Completed Total Value,Magna International Inc sold Russian assets/Magna International Inc to Unnamed Buyer for USD 15.00M. The transaction was announced on 8/11/2023 and completed on 8/1/2023.
235145087,Marathon Oil Corp,US,Demetra-Holding OOO,Unnamed Buyer,2023-08-11,2023-08-11,Completed,INV,10.57,shared_interest_offered,533,0,,RUB,,Marathon Oil Corp sold a minority stake in Demetra-Holding OOO to Unnamed Buyer. The transaction was completed on 8/11/2023. Financial terms of the transaction are undisclosed.
235184392,HUGO BOSS AG,DE,Russian wholesale business,Stokmann AO/Moscow,2023-04-24,2024-08-02,Completed,AST,100,full_interest_offered,890,466,,RUB,,HUGO BOSS AG sold Russian wholesale business to Stokmann AO/Moscow. The transaction was announced on 4/24/2023 and completed on 8/2/2024. Financial terms of the transaction are undisclosed.
235210964,Valeo SE,FR,Powertrain Systems business/Russia,NPK Avtopribor OOO,2023-08-18,,Pending,AST,100,full_interest_offered,,,,EUR,,Valeo SE announced the sale of Powertrain Systems business/Russia to NPK Avtopribor OOO. The transaction was announced on 8/18/2023 and is currently pending. Financial terms of the transaction are undisclosed.
235276373,China Minsheng Future Holdings Group Co Ltd,CN,United New Material Co Ltd,Suzhou Jingmoshen Material Technology Co Ltd,2023-08-25,2024-05-24,Completed,M&A,51,shared_interest_offered,820,273,10.06,CNY,Current/Completed Total Value,China Minsheng Future Holdings Group Co Ltd sold United New Material Co Ltd to Suzhou Jingmoshen Material Technology Co Ltd for CNY 72.90M. The transaction was announced on 8/25/2023 and completed on 5/24/2024.
235405326,La Poste SA,FR,Russian DPD business/Geopost SA,Potential Buyer,2023-09-06,2024-03-06,Withdrawn,AST,100,full_interest_offered,741,182,,RUB,,La Poste SA announced the sale of Russian DPD business/Geopost SA to Potential Buyer. Financial terms of the transaction are undisclosed.
235421943,British American Tobacco PLC,GB,"Russian businesses/British American Tobacco PLC,Belarusian businesses/British American Tobacco PLC","Management Group,BFI Holding LLC FZ",2023-09-07,,Pending,AST,100,full_interest_offered,,,,RUB,,British American Tobacco PLC announced the sale of Belarusian businesses/British American Tobacco PLC & Russian businesses/British American Tobacco PLC to a consortium led by Management Group. The transaction was announced on 9/7/2023 and is currently pending. Financial terms of the transacti...
235626557,Binance Holdings Ltd,KY,Diversified business/Russia,Commex Technology Ltd,2023-09-27,,Pending,AST,100,full_interest_offered,,,,USD,,Binance Holdings Ltd announced the sale of Diversified business/Russia to Commex Technology Ltd. The transaction was announced on 9/27/2023 and is currently pending. Financial terms of the transaction are undisclosed.
235653590,Intesa Sanpaolo SpA,IT,Bank Intesa AO,Potential Buyer,2023-09-29,2024-03-29,Withdrawn,M&A,100,full_interest_offered,764,182,,RUB,,Intesa Sanpaolo SpA announced the sale of Bank Intesa AO to Potential Buyer. Financial terms of the transaction are undisclosed.
235954816,European Bank for Reconstruction & Development,GB,Moscow Exchange MICEX-RTS PJSC,Softline Trade CJSC,2023-10-23,2024-04-23,Withdrawn,INV,5.3,shared_interest_offered,789,183,,EUR,,European Bank for Reconstruction & Development announced the sale of a minority stake in Moscow Exchange MICEX-RTS PJSC to Softline Trade CJSC. Financial terms of the transaction are undisclosed.
236024314,Valeo SE,FR,Russian Thermal Systems Business/ Valeo,NPK Avtopribor OOO,2023-10-31,,Pending,AST,100,full_interest_offered,,,,EUR,,Valeo SE announced the sale of Russian Thermal Systems Business/ Valeo to NPK Avtopribor OOO. The transaction was announced on 10/31/2023 and is currently pending. Financial terms of the transaction are undisclosed.
236547434,J&T Finance Group SE,CZ,J&T Bank Zao,Unnamed Buyer,2023-12-14,2023-12-14,Completed,M&A,100,full_interest_offered,658,0,,RUB,,J&T Finance Group SE sold J&T Bank Zao to Unnamed Buyer. The transaction was completed on 12/14/2023. Financial terms of the transaction are undisclosed.
236591644,Robert Bosch Stiftung GmbH,DE,Factory assets/Russia,Can Holding AS,2023-12-19,2024-06-19,Withdrawn,AST,100,full_interest_offered,846,183,,EUR,,"With no further information disclosed, this proposal has been withdrawn on 06/19/2024. Robert Bosch Stiftung GmbH proposed to sell Factory assets/Russia to Can Holding AS. The transaction was proposed on 12/19/2023. Financial terms of the transaction are unknown."
236592388,Anheuser-Busch InBev SA/NV,BE,AB InBev Efes JSC,Anadolu Efes Biracilik Ve Malt Sanayii AS,2023-12-19,,Pending,M&A,100,full_interest_offered,,,,RUB,,Anheuser-Busch InBev SA/NV announced the sale of AB InBev Efes JSC to Anadolu Efes Biracilik Ve Malt Sanayii AS. The transaction was announced on 12/19/2023 and is currently pending. Financial terms of the transaction are undisclosed.
236592955,Hyundai Motor Co,KR,Hyundai Motor Manufacturing Russia LLC,Art-Finance LLC,2023-12-19,2024-01-26,Completed,M&A,70,shared_interest_offered,701,38,0,RUB,Current/Completed Total Value,Hyundai Motor Co sold Hyundai Motor Manufacturing Russia LLC to Art-Finance LLC for RUB 0.01M. The transaction was announced on 12/19/2023 and completed on 1/26/2024.
237033041,Inpex Corp,JP,Russian Oil Project/Siberia,ITOCHU Corp,2024-01-30,,Pending,AST,0,unclassified,,,,RUB,,Inpex Corp announced the sale of Russian Oil Project/Siberia to ITOCHU Corp. The transaction was announced on 1/30/2024 and is currently pending. Financial terms of the transaction are undisclosed.
237132186,Glencore PLC,CH,RussNeft PJSC,OCN International Dmcc,2025-04-23,2025-04-23,Completed,INV,16.33,shared_interest_offered,1154,0,,RUB,,Glencore PLC sold a minority stake in RussNeft PJSC to OCN International Dmcc. The transaction was completed on 4/23/2025. Financial terms of the transaction are undisclosed.
237267664,Mercedes-Benz Group AG,DE,Kamaz PJSC,Unnamed Buyer,2024-02-15,2024-02-15,Completed,INV,15,shared_interest_offered,721,0,,RUB,,Mercedes-Benz Group AG sold a minority stake in Kamaz PJSC to Unnamed Buyer. The transaction was completed on 2/15/2024. Financial terms of the transaction are undisclosed.
237322321,Danone SA,FR,Russian operations/Danone,Potential Buyer,2024-02-21,2024-08-21,Withdrawn,AST,100,full_interest_offered,909,182,191.69,RUB,Current/Completed Total Value,Danone SA announced the sale of Russian operations/Danone to Potential Buyer for RUB 17700.00M.
237324457,Wienerberger AG,AT,Russian operations/Wienerberger AG,Private Investor,2024-02-21,2024-02-21,Completed,AST,100,full_interest_offered,727,0,9.73,EUR,Current/Completed Total Value,Wienerberger AG sold Russian operations/Wienerberger AG to Private Investor for EUR 9.00M. The transaction was completed on 2/21/2024.
237337917,AGC Inc,JP,"Bor Glass Factory/Russia,Klin Glass Factory/Russia",Adamant Holding ZAO,2024-02-22,2024-02-22,Completed,AST,100,full_interest_offered,728,0,,RUB,,AGC Inc sold Bor Glass Factory/Russia & Klin Glass Factory/Russia to Adamant Holding ZAO. The transaction was completed on 2/22/2024. Financial terms of the transaction are undisclosed.
237411882,AGC Inc,JP,KSZ OOO,Private Investor,2024-02-28,2024-02-28,Completed,M&A,100,full_interest_offered,734,0,,RUB,,AGC Inc sold KSZ OOO to Private Investor. The transaction was completed on 2/28/2024. Financial terms of the transaction are undisclosed.
237411895,AGC Inc,JP,AGC Bor Glassworks JSC,Private Investor,2024-02-28,2024-02-28,Completed,M&A,100,full_interest_offered,734,0,,RUB,,AGC Inc sold AGC Bor Glassworks JSC to Private Investor. The transaction was completed on 2/28/2024. Financial terms of the transaction are undisclosed.
237895742,Viciunai Uab,LT,Kaliningrad exclave/Russia,Private Investor,2024-04-08,2024-04-13,Pending,AST,100,full_interest_offered,779,5,,RUB,,Viciunai Uab announced the sale of Kaliningrad exclave/Russia to Private Investor. The transaction was announced on 4/8/2024 and is expected to be completed by 4/13/2024. Financial terms of the transaction are undisclosed.
237923244,Enel SpA,IT,Rusenergosbyt OOO,Rusenergosbyt OOO,2024-04-10,2024-04-10,Completed,INV,49.5,shared_interest_offered,776,0,,EUR,,Enel SpA sold a minority stake in Rusenergosbyt OOO to Rusenergosbyt OOO. The transaction was completed on 4/10/2024. Financial terms of the transaction are undisclosed.
238019106,Purmo Group Oyj,FI,Russian Business/Purmo Group Oyj,Unnamed Buyer,2024-04-19,2024-09-11,Completed,AST,100,full_interest_offered,930,145,,RUB,,Purmo Group Oyj sold Russian Business/Purmo Group Oyj to Unnamed Buyer. The transaction was announced on 4/19/2024 and completed on 9/11/2024. Financial terms of the transaction are undisclosed.
238020102,Viciunu Grupe Uab,LT,Vichi-Rus OOO,UK Gruppa Okean AO,2024-04-19,2024-04-19,Completed,M&A,100,full_interest_offered,785,0,,RUB,,Viciunu Grupe Uab sold Vichi-Rus OOO to UK Gruppa Okean AO. The transaction was completed on 4/19/2024. Financial terms of the transaction are undisclosed.
238062531,Aumarche SAS,FR,Akvarel OOO / Moscow Verkhnyaya Krasnoselskaya,Trade Galleries OOO,2024-04-15,2024-04-12,Completed,M&A,100,full_interest_offered,778,,,RUB,,Aumarche SAS sold Akvarel OOO / Moscow Verkhnyaya Krasnoselskaya to Trade Galleries OOO. The transaction was announced on 4/15/2024 and completed on 4/12/2024. Financial terms of the transaction are undisclosed.
238195025,Home Capital Colombia SAS,CO,Home Credit & Finance Bank OOO,Sovcombank PJSC,2025-04-07,2025-04-07,Completed,M&A,100,full_interest_offered,1138,0,,RUB,,Home Capital Colombia SAS sold Home Credit & Finance Bank OOO to Sovcombank PJSC. The transaction was completed on 4/7/2025. Financial terms of the transaction are undisclosed.
238474644,Nokia Oyj,FI,RTK - Network Technologies,Rostelecom PJSC,2024-05-29,,Pending,M&A,49,shared_interest_offered,,,,RUB,,Nokia Oyj announced the sale of RTK - Network Technologies to Rostelecom PJSC. The transaction was announced on 5/29/2024 and is currently pending. Financial terms of the transaction are undisclosed.
238791934,Danone SA,FR,EDP business/Russia,Gruppa Logika Moloka OOO,2024-03-22,2024-03-22,Completed,AST,100,full_interest_offered,757,0,,RUB,,Danone SA sold EDP business/Russia to Gruppa Logika Moloka OOO. The transaction was completed on 3/22/2024. Financial terms of the transaction are undisclosed.
238970350,Dentsu Group Inc,JP,Russian business/Dentsu Group Inc,Unnamed Buyer,2024-07-12,2024-07-12,Completed,AST,100,full_interest_offered,869,0,,RUB,,Dentsu Group Inc sold Russian business/Dentsu Group Inc to Unnamed Buyer. The transaction was completed on 7/12/2024. Financial terms of the transaction are undisclosed.
238972370,Senci Electric Machinery Co Ltd,CN,Ayvolt OOO,Chongqing Ruihai Metal Materials Co Ltd,2024-07-10,,Pending,M&A,100,full_interest_offered,,,3.33,CNY,Current/Completed Total Value,Senci Electric Machinery Co Ltd announced the sale of Ayvolt OOO to Chongqing Ruihai Metal Materials Co Ltd for CNY 24.20M. The transaction was announced on 7/10/2024 and is currently pending.
239645251,Unilever PLC,GB,Russian assets/Unilever PLC,ArnestFinans OOO,2024-10-10,2024-10-10,Completed,AST,100,full_interest_offered,959,0,,EUR,,Unilever PLC sold Russian assets/Unilever PLC to ArnestFinans OOO. The transaction was completed on 10/10/2024. Financial terms of the transaction are undisclosed.
239658247,Raiffeisen Bank International AG,AT,Raiffeisenbank AO,Potential Buyer,2024-09-05,2025-03-06,Withdrawn,M&A,100,full_interest_offered,1106,182,,RUB,,Raiffeisen Bank International AG proposed to sell Raiffeisenbank AO to Potential Buyer. The transaction was proposed on 9/5/2024. Financial terms of the transaction are unknown.With no further information the deal has been withdrawn on 06/03/2025
240036260,Aspo Oyj,FI,Russian operations/Leipurin Oyj,Private Investor,2024-10-10,2024-10-10,Completed,AST,100,full_interest_offered,959,0,,RUB,,Aspo Oyj sold Russian operations/Leipurin Oyj to Private Investor. The transaction was completed on 10/10/2024. Financial terms of the transaction are undisclosed.
240155281,Association Familiale Mulliez,FR,Russian operations/ELO SACA,Potential Buyer,2024-10-24,2025-04-24,Withdrawn,AST,100,full_interest_offered,1155,182,,EUR,,Association Familiale Mulliez announced the sale of Russian operations/ELO SACA to Potential Buyer. Financial terms of the transaction are undisclosed.
240294831,PPF Group,CZ,*MISTAKE(Ppf Life Insurance LLC),Inweasta Investment in Commercial Enterprises & Management LLC,2024-11-05,,Pending,M&A,100,full_interest_offered,,,,CZK,,PPF Group announced the sale of *MISTAKE(Ppf Life Insurance LLC) to Inweasta Investment in Commercial Enterprises & Management LLC. The transaction was announced on 11/5/2024 and is currently pending. Financial terms of the transaction are undisclosed.
240592163,Louis Dreyfus Co BV,NL,Russia Assets/Louis Dreyfus Co BV,Unnamed Buyer,2024-12-02,2025-06-02,Withdrawn,M&A,100,full_interest_offered,1194,182,,RUB,,Louis Dreyfus Co BV announced the sale of Russia Assets/Louis Dreyfus Co BV to Unnamed Buyer. Financial terms of the transaction are undisclosed.
240599942,Carlsberg AS,DK,Russian business/Carlsberg AS,Private Investor,2024-12-03,2025-06-03,Withdrawn,AST,100,full_interest_offered,1195,182,320.62,RUB,Current/Completed Total Value,Carlsberg AS announced the sale of Russian business/Carlsberg AS to Private Investor for RUB 34000.00M.
240621884,Metlen Energy & Metals SA,GR,Volgafert LLC,KuibyshevAzot PJSC,2024-12-04,2024-12-02,Completed,M&A,100,full_interest_offered,1012,,,USD,,Metlen Energy & Metals SA sold Volgafert LLC to KuibyshevAzot PJSC. The transaction was announced on 12/4/2024 and completed on 12/2/2024. Financial terms of the transaction are undisclosed.
241210933,ING Groep NV,NL,ING Bank Eurasia JSC,Global Development JSC,2025-01-28,2026-04-07,Terminated,M&A,100,full_interest_offered,1503,434,,RUB,,ING Groep NV announced the sale of ING Bank Eurasia JSC to Global Development JSC. The transaction was announced on 1/28/2025 and terminated on 4/7/2026. Financial terms of the transaction are undisclosed.
241553155,Vinci SA,FR,Severo-Zapadnaya Koncessionnaya Kompaniya OOO,NatsProyektStroy,2025-02-26,2025-02-26,Completed,INV,0,unclassified,1098,0,,RUB,,Vinci SA sold a minority stake in Severo-Zapadnaya Koncessionnaya Kompaniya OOO to NatsProyektStroy. The transaction was completed on 2/26/2025. Financial terms of the transaction are undisclosed.
242391857,LVL1 Management Ltd,GB,Selectel Co Ltd,Moscow Exchange MICEX-RTS PJSC,2025-05-05,2025-05-05,Completed,INV,10,shared_interest_offered,1166,0,,USD,,LVL1 Management Ltd sold Selectel Co Ltd to Moscow Exchange MICEX-RTS PJSC. The transaction was completed on 5/5/2025. Financial terms of the transaction are undisclosed.
242702033,Jubilant Foodworks Ltd,IN,Pizza Restaurants LLC,Private Investor,2025-05-30,2025-07-10,Completed,M&A,100,full_interest_offered,1232,41,0,RUB,Current/Completed Total Value,Jubilant Foodworks Ltd sold Pizza Restaurants LLC to Private Investor for RUB 0.00M. The transaction was announced on 5/30/2025 and completed on 7/10/2025.
243034616,Jungheinrich AG,DE,Yungkhaynrikh Podyemno-Pogruzochnaya Tekhnika OOO,Unnamed Buyer,2025-06-27,,Proposed,M&A,100,full_interest_offered,,,,RUB,,Jungheinrich AG proposed to sell Yungkhaynrikh Podyemno-Pogruzochnaya Tekhnika OOO to Unnamed Buyer. The transaction was proposed on 6/27/2025. Financial terms of the transaction are unknown.
243360134,VOSTOK Investments doo,RS,Ozon Holdings PLC,Private Investor,2025-07-25,2025-07-25,Completed,INV,27.7,shared_interest_offered,1247,0,,RUB,,VOSTOK Investments doo sold a minority stake in Ozon Holdings PLC to Private Investor. The transaction was completed on 7/25/2025. Financial terms of the transaction are undisclosed.
243980793,Deutsche Lufthansa AG,DE,Aeromar JSC,Aeroflot PJSC,2025-09-08,2025-12-31,Proposed,M&A,49,shared_interest_offered,1406,114,,RUB,,Deutsche Lufthansa AG proposed to sell Aeromar JSC to Aeroflot PJSC. The transaction was proposed on 9/8/2025. Financial terms of the transaction are unknown.
245928930,Natura Cosmeticos SA,BR,Avon Russia/Avon Netherlands Holdings II BV,Arnest Kosmetiks OOO,2026-02-19,2026-02-17,Completed,AST,100,full_interest_offered,1454,,32.92,RUB,Current/Completed Total Value,Natura Cosmeticos SA sold Avon Russia/Avon Netherlands Holdings II BV to Arnest Kosmetiks OOO for RUB 2520.40M. The transaction was announced on 2/19/2026 and completed on 2/17/2026.
246698436,QIWI plc,CY,Flocktory,Alfa-Bank CJSC,2026-04-20,2026-04-20,Completed,M&A,100,full_interest_offered,1516,0,,RUB,,QIWI plc sold Flocktory to Alfa-Bank CJSC. The transaction was completed on 4/20/2026. Financial terms of the transaction are undisclosed.
246785965,Gentlia Ltd,CY,Pavlik AO,Aurum Trade JSC,2026-04-27,2026-04-27,Completed,M&A,87.63,shared_interest_offered,1523,0,,RUB,,Gentlia Ltd sold Pavlik AO to Aurum Trade JSC. The transaction was completed on 4/27/2026. Financial terms of the transaction are undisclosed.
246939467,UniCredit SpA,IT,AO Bank Onego,Potential Buyer,2026-05-07,,Proposed,INV,0,unclassified,,,,RUB,,UniCredit SpA proposed to sell a minority stake in AO Bank Onego to Potential Buyer. The transaction was proposed on 5/7/2026. Financial terms of the transaction are unknown.
247308030,TotalEnergies SE,FR,Arctic LNG 2 OOO,Nordline OOO,2026-06-03,,Pending,INV,10,shared_interest_offered,,,,RUB,,TotalEnergies SE announced the sale of a minority stake in Arctic LNG 2 OOO to Nordline OOO. The transaction was announced on 6/3/2026 and is currently pending. Financial terms of the transaction are undisclosed.
247963890,Linde UK Holdings NO 2 Ltd,GB,Praxea Rus LLC,Ruskhimalyans OOO,2026-07-28,2026-07-28,Completed,M&A,100,full_interest_offered,1615,0,,RUB,,Linde UK Holdings NO 2 Ltd sold Praxea Rus LLC to Ruskhimalyans OOO. The transaction was completed on 7/28/2026. Financial terms of the transaction are undisclosed.
